myanglish,burmese,frequency
bett,ဘက်,70
bhone,ဘုန်း,70
bhwar,ဘွား,70
bi,ဘီ,70
bie,ဘီ,70
bin,ဘင်,70
bine,ဗိုင်း,70
binn,ဘင်း,70
boh,ဘို့,70
boi,ဘွိုင်,70
boke,ဘုတ်,70
bon,ဘုံ,70
bone,ဘုန်း,70
bote,ဘုတ်,70
bout,ဘောက်,70
boy,ဘွိုင်,70
bu,ဘူ,70
bue,ဘူး,70
bwal,ဘွယ်,70
bwan,ဘွမ်,70
bwar,ဘွား,70
bwe,ဘွဲ့,70
bwel,ဘွယ်,70
bwet,ဘွဲ့,70
bwine,ဘွိုင်,70
by,ဘီ,70
bya,ဗြ,70
byar,ဗျာ,70
byarl,ဗျာလ်,70
byat,ဗျက်,70
byaw,ဗျော,70
byet,ဗျက်,70
c,စီ,70
ca,ကာ,70
cci,စီ,70
cel,ခြယ်,70
cem,ဇင်,70
ch,ခ,70
cha,ချ,70
chae,ချဲ့,70
chain,ချိန်,70
chaint,ခြိမ့်,70
chal,ချယ်,70
chan,ချမ်း,70
chane,ချိန်း,70
chann,ချမ်း,70
chard,ချက်စ်,70
charl,ချားလ်,70
chate,ချိတ်,70
chauk,ချောက်,70
chaung,ချောင်,70
chaw,ချော,70
chay,ချေ,70
che,ခြည်,70
chein,ချိန်,70
cheint,ခြိမ့်,70
chel,ချယ်,70
cher,ချယ်,70
chi,ခြည်,70
chine,ချိုင်း,70
chinn,ချင်း,70
chit,ချစ်,70
cho,ချို,70
choe,ချိုး,70
chon,ချွန်,70
chone,ချုံး,70
choon,ချွန်း,70
chu,ခြူး,70
chue,ခြူး,70
chun,ချွန်,70
chunn,ချွန်း,70
chuu,ခြူး,70
chway,ခြွေ,70
chwut,ချွတ်,70
chyi,ခြည်,70
ci,စိ,70
cin,စင်,70
co,ကို,70
d,ဒ,70
daein,ဒိန်း,70
dahmma,ဓမ္မာ,70
dai,ဒိုင်,70
dain,ဒိန်း,70
daing,ဒိုင်,70
daint,ဒိမ့်,70
dam,ဒမ်း,70
dame,ဒိမ်း,70
dan,ဒန်,70
dane,ဒိမ်း,70
dant,ဒန့်,70
datt,ဒတ်,70
dauk,တောက်,70
daung,ဒေါင်,70
daunt,ဒေါင့်,70
dave,ဒေ့ဗ်,70
daw,ဒေါသ်,70
day,ဋေ,70
ddi,တီ,70
ddy,တီ,70
de,တီ,70
deight,တိုက်,70
deik,ဒိတ်,70
dein,ဒိန်း,70
deint,ဒိမ့်,70
del,ဒယ်လ်,70
din,ဒင်,70
dine,ဒိုင်,70
dint,ဒင့်,70
dit,ဒစ်,70
do,ဒို,70
doe,တိုး,70
dol,ဒေါ်,70
don,ဒုံ,70
doon,ဒွန်း,70
douk,တောက်,70
dove,ဒို့ဗ်,70
dra,ဒြာ,70
du,ဒူ,70
due,ဒူး,70
dunn,ဒွန်း,70
duu,ဒူး,70
dwant,ဒွန့်,70
dwap,ဒွပ်,70
dwat,ဒွတ်,70
dway,ဒွေး,70
dwe,ဒွေး,70
dy,တီ,70
e,အယ်,70
eain,အိမ်,70
eainda,အိန္ထ,70
eaindar,အိန္တာ,70
eaindra,အိန္ဒြာ,70
eaindu,အိန္ဓု,70
eaindya,အိန္ဒြ,70
eainkha,အိင်္ခ,70
eainmar,အိန္မာ,70
eainn,အိဏ်း,70
eainni,အိန္နီ,70
eaint,အိမ့်,70
eainvar,အိမ္ဗာ,70
eie,အီ,70
eike,အိုက်,70
eine,အိုင်း,70
eit,အစ်,70
eizzar,အိဇ္ဇာ,70
el,ရယ်လ်,70
ent,ယန့်,70
eu,အူရ်,70
eular,အူလ္လာ,70
ew,ယူး,70
f,ဖ,70
fa,ဖ,70
far,ဖယ်,70
g,ဂျီ,70
ga,ဂ,70
gae,ဂဲလ်,70
gag,ဂဂ်,70
gagar,ဂဂ္ဂါ,70
gagarr,ဂဂ္ဂါး,70
gaine,ဂိမ်း,70
gam,ဂမ်,70
gan,ဂန်,70
ganda,ဂန္တ,70
gant,ကံ့,70
gar,ဃာ,70
garr,ဂါး,70
gat,ဂတ်,70
gate,ဂိတ်,70
gaung,ဂေါင်,70
gaw,ကော်,70
gay,ဂေ,70
gel,ဂျယ်,70
gi,ဂီ,70
gint,ဂင့်,70
go,ဂို,70
gold,ဂိုးလ်,70
gon,ဂုန်,70
gu,ဂူ,70
gue,ဂူး,70
guu,ဂူး,70
gwan,ဂွမ်,70
gwi,ဂွိ,70
gy,ဂီ,70
gyan,ဂျမ်း,70
gyee,ဂျီး,70
gyin,ကြင်း,70
gyoke,ချုပ်,70
ha,ဟ,70
hae,ဟဲ,70
hain,ဟိန်း,70
haine,ဟိန်း,70
hak,ဟက်ခ်,70
ham,ဟမ်,70
han,ဟန်,70
hann,ဟမ်း,70
har,ဟာ,70
hark,ဟက်ခ်,70
hat,ဟတ်,70
hatt,ဟတ်,70
hauk,ဟောက်,70
haut,ဟောက်,70
haw,ဟော,70
haway,ဟွေ,70
hawe,ဟွေ,70
hawm,ဟောမ်း,70
hay,ဟေ,70
haye,ဟေး,70
he,ဟဲ,70
heart,ဟတ်ဒ်,70
hee,ဟီး,70
hei,ဟိုင်,70
hein,ဟိန်း,70
her,ဟယ်,70
hin,ဟင်း,70
hlae,လှဲ,70
hlaine,လှိုင်,70
hlaing,လှိုင်,70
hlan,လှဲန်,70
hlaung,လှောင်,70
hlawn,လှောန်,70
hlay,လှေ,70
hlayan,လျှမ်း,70
hlayap,လျှပ်,70
hlayat,လျှပ်,70
hlaye,လှေး,70
hlee,လှီး,70
hlian,လျှံ,70
hline,လှိုင်,70
hlwar,လွှာ,70
hlwin,လွှင်,70
hlyan,လျှံ,70
hlyap,လျှပ်,70
hlyat,လျှပ်,70
hlyin,လျှင်,70
hmaine,မှိုင်,70
hman,မှန်,70
hmat,မှတ်,70
hmaung,မှောင်,70
hme,မှီ,70
hmi,မှီ,70
hmine,မှိုင်း,70
hmone,မှုံ,70
hmoo,မှူး,70
hmooe,မှူး,70
hmoon,မွှန်း,70
hmu,မှု,70
hmue,မှူး,70
hmway,မွှေး,70
hmwe,မွှေး,70
hmyar,မျှား,70
hmyaung,မြှောင်,70
hmyaw,မျှော်,70
hnam,နှဲမ်,70
hname,နှဲမ်း,70
hnaung,နှောင်း,70
hnaw,နှော,70
hnie,နှီး,70
hnim,နှင်မ်,70
hnin,နှင်း,70
hnine,နှိုင်း,70
hnyar,ညှာ,70
hnyin,ညှင်း,70
hnyun,ညွှန်း,70
hnyunt,ညွှန့်,70
ho,ဟန်,70
hoe,ဟိုး,70
hone,ဟုန်း,70
hose,ဟို့စ်,70
hote,ဟုတ်,70
hpang,ဖန်,70
hpone,ဖုန်း,70
hsal,ဆယ်,70
hsan,ဆန်း,70
hsel,ဆဲ,70
hseng,ဆိုင်း,70
hset,ဆက်,70
hsu,ဆု,70
hsue,ဆူး,70
htae,ထဲ,70
htai,ထိုင်,70
htaik,ထိုက်,70
htain,ထိန်,70
htaing,ထိုင်,70
htainn,ထိန်း,70
htake,ထိပ်,70
htal,ထည်,70
htan,ထန်း,70
htane,ထိန်း,70
htant,ထန့်,70
htap,ထပ်,70
htar,ထား,70
htat,ထက်,70
htate,ထိပ်,70
htaung,ထောင်း,70
htaw,ထော,70
htay,ဌေး,70
htee,ထီး,70
htein,ထိန်,70
htet,ထက်,70
hti,ထီ,70
htike,ထိုက်,70
htin,ထင်,70
htoe,ထိုး,70
htoi,ထွယ်,70
htoo,ထူး,70
htoon,ထွန်း,70
htu,ထု,70
htue,ထူး,70
htut,ထွဋ်,70
htwal,ထွယ်,70
htwar,ထွာ,70
htway,ထွေး,70
htwe,ထွေး,70
hu,ဟူ,70
hue,ဟူး,70
huu,ဟူး,70
hwa,ဟွ,70
hwan,ဟွမ်,70
hwun,ဟွမ်း,70
hylar,လျှား,70
i,အိုင်,70
iit,အစ်,70
in,အင်,70
inn,အင်း,70
inza,အဉ္စ,70
inzu,အဉ္ဇူ,70
is,အစ္စ,70
j,ဂျေ,70
ja,ဂျ,70
jac,ဂျက်ခ်,70
jack,ဂျက်,70
jal,ဂျယ်,70
james,ဂျိမ်းစ်,70
jan,ဂျန်,70
jang,ဂျန်,70
jar,ဂျာ,70
jarl,ဂျာလ်,70
jaw,ဂျော်,70
jay,ဂျေ,70
je,ဂျူ,70
jet,ဂျတ်,70
ji,ဂျီ,70
jo,ဂျိုး,70
john,ဂျွန်,70
johne,ဂျွန်း,70
johnn,ဂျွန်း,70
jon,ဂျွန်,70
ju,ဂျူ,70
jud,ဂျက်ဒ်,70
jue,ဂျူး,70
june,ဂျွန်,70
juu,ဂျူး,70
jyal,ဂျဲ,70
jyoun,ဂျွန်း,70
k,ကေ,70
kabar,ကမ္ဘာ,70
kae,ကဲ,70
kaik,ကိုက်,70
kain,ကိမ်,70
kaing,ကိုင်,70
kainna,ကိန္န,70
kal,ကယ်,70
kam,ကမ်,70
kan,ကံ,70
kane,ကိန်း,70
kant,ကံ့,70
kap,ကပ်,70
kar,ကာ,70
karl,ကာလ်,70
kat,ကပ်,70
katte,ကတ္တီ,70
katti,ကတ္တီ,70
kauk,ကောက်,70
kaung,ကောင်း,70
kaw,ကော်,70
kawl,ကောလ်,70
kawn,ကောန်,70
kawt,ကော့,70
kay,ကေ,70
ke,ကီ,70
kee,ကီး,70
kein,ကိမ်,70
kel,ကယ်လ်,70
ken,ကန်,70
ker,ကာ,70
key,ကီ,70
kha,ခ,70
khae,ခဲ,70
khagar,ခဂ္ဂါ,70
khaing,ခိုင်,70
kham,ခမ်း,70
khan,ခန်း,70
khant,ခန့်,70
khante,ခန္တီ,70
khanti,ခန္တီ,70
khar,ခါး,70
khat,ခက်,70
khattar,ခတ္တာ,70
khauk,ခေါက်,70
khaung,ခေါင်,70
khaut,ခေါက်,70
khaw,ခေါန်,70
khawl,ခေါလ်,70
khawn,ခေါန်,70
khay,ခေး,70
khe,ခီ,70
khet,ခက်,70
khi,ခိ,70
khin,ခင်,70
khine,ခိုင်,70
khit,ခေတ်,70
kho,ခို,70
khoke,ခုပ်,70
khoon,ခွန်း,70
khote,ခုပ်,70
khu,ခူ,70
khue,ခူး,70
khunn,ခွန်း,70
khuu,ခူး,70
khwan,ခွမ်,70
khwar,ခွာ,70
khwarl,ခွါလ်,70
khway,ခွေ,70
ki,ကီ,70
kie,ကီ,70
kim,ကင်းမ်,70
kin,ကင်း,70
kine,ကိုင်,70
kinsa,ကဉ္စ,70
kiss,ကစ္စ,70
kit,ကစ်,70
kite,ကိုက်,70
koe,ကိုး,70
koke,ခုပ်,70
kol,ကိုလ်,70
kon,ကွန်,70
kone,ကုန်,70
koon,ကွန်း,70
kount,ကွန့်,70
ku,ကူ,70
kue,ကူး,70
kuma,ကုမ္မာ,70
kun,ကွန်,70
kunn,ကွန်း,70
kuu,ကူး,70
kwa,ကွ,70
kwak,ကွက်,70
kwal,ကွဲ,70
kwam,ကွမ်,70
kwan,ကွမ်း,70
kwap,ကွပ်,70
kwar,ကွာ,70
kwaye,ကွေ့,70
kwe,ကွီ,70
kwee,ကွီး,70
kwi,ကွီ,70
kwiz,ကွိဇ်,70
kwun,ကွမ်း,70
kwut,ကွတ်,70
ky,ကီ,70
kyae,ကျဲ,70
kyai,ကျေ,70
kyaik,ကြိုက်,70
kyain,ကျိန်,70
kyaine,ကျိုင်း,70
kyaing,ကြိုင်,70
kyak,ကျက်,70
kyal,ကြယ်,70
kyan,ကျန်,70
kyane,ကျိန်း,70
kyant,ကြံ့,70
kyauk,ကျောက်,70
kyaung,ကျောင်,70
kyaw,ကျော်,70
kyawal,ကျွဲ,70
kyawt,ကျော့,70
kyay,ကြေး,70
kye,ကျေ,70
kyee,ကြီး,70
kyeim,ကျိမ်,70
kyein,ကျိန်,70
kyi,ကြည်,70
kyin,ကျင်,70
kyine,ကြိုင်,70
kyint,ကျင့်,70
kyit,ကျစ်,70
kyo,ကျို,70
kyoe,ကျိုး,70
kyoke,ကြုတ်,70
kyon,ကျုံ,70
kyone,ကျုံး,70
kyu,ကြူ,70
kyue,ကြူး,70
kyun,ကျွန်း,70
kyuu,ကျူး,70
kywa,ကြွ,70
kywae,ကြွေ,70
kywal,ကြွယ်,70
kywat,ကြွက်,70
kyway,ကြွေ,70
kywe,ကြွယ်,70
kywel,ကြွယ်,70
kywun,ကျွန်,70
l,အယ်,70
lad,လဒ်,70
lae,လဲ့,70
lai,လဲ့,70
lain,လိန်း,70
laing,လိုင်,70
lainn,လိန်း,70
lak,လက်,70
lakyar,လက်ျာ,70
lal,လဲ,70
lan,လမ်း,70
lane,လိန်း,70
lann,လမ်း,70
lant,လမ့်,70
lao,လောင်ဝ်,70
lap,လပ်,70
larb,လာဘ်,70
lard,လာဒ်,70
larl,လာလ်,70
larm,လာမ်,70
lat,လပ်,70
latt,လတ်,70
laud,လောဒ်,70
laung,လောင်ဝ်,70
law,လော,70
lay,လေး,70
layan,လျန်း,70
layar,လျာ,70
layawt,လျော့,70
layin,လျင်,70
layint,လျင့်,70
le,လက်,70
lei,လဲ့,70
leik,လိတ်,70
lein,လိန်း,70
leinn,လိန်း,70
lekkha,လက္ခ,70
let,လက်,70
lett,လက်,70
lex,လက်စ်,70
lhay,လှေ,70
lhayap,လျှပ်,70
lhayat,လျှပ်,70
lhee,လှီး,70
lhwan,လွှမ်း,70
lhwar,လွှာ,70
lhyap,လျှပ်,70
lhyar,လျှား,70
lhyat,လျှပ်,70
li,လီ,70
lie,လီ,70
lin,လင်း,70
line,လိုင်း,70
linkar,လင်္ကာ,70
linn,လင်း,70
lips,လစ်,70
lis,လဲစ်,70
lo,လို,70
loe,လို့,70
loie,လွိုင်း,70
loon,လွန်း,70
lor,လာ,70
los,လော့,70
lote,လုတ်,70
loung,လောင်ဝ်,70
lu,လူ,70
lue,လူး,70
lum,လမ်,70
lun,လွန်,70
lunn,လွန်း,70
luu,လူး,70
lwai,လွေ,70
lwal,လွယ်,70
lwan,လွမ်း,70
lwant,လွမ့်,70
lwar,လွှာ,70
lway,လွေ,70
lwi,လွီ,70
lwin,လွင်,70
ly,လိုင်,70
lyan,လျန်း,70
lyar,လျာ,70
lyawt,လျော့,70
lyin,လျင်,70
lyint,လျင့်,70
lynn,လင်း,70
lyo,လျို,70
m,အမ်,70
mae,မဲ့,70
maen,မဲန်း,70
mahn,မာန်,70
mai,မိုင်,70
maik,မိုက်,70
mail,မဲလ်,70
main,မိန်,70
mak,မက်,70
man,မာန်,70
mann,မာန်,70
mant,မန့်,70
mar,မာ,70
mark,မာ့,70
marn,မာန်,70
mas,မတ်,70
mat,မက်,70
matt,မတ်,70
mauk,မောက်,70
maung,မောင်,70
maut,မောက်,70
maw,မော်,70
may,မေ,70
mee,မီး,70
met,မက်,70
mg,မောင်,70
mhaine,မှိုင်,70
mhan,မှန်,70
mhat,မှတ်,70
mhaung,မှောင်,70
mhe,မှီ,70
mhi,မှီ,70
mhine,မှိုင်,70
mhone,မှုံ,70
mhoo,မှူး,70
mhooe,မှူး,70
mhoon,မွှန်း,70
mhu,မှု,70
mhue,မှူး,70
mhuu,မှူး,70
mhway,မွှေး,70
mhwe,မွှေး,70
mhyaung,မြှောင်,70
mhyaw,မျှော်,70
mi,မီ,70
mic,မစ်,70
mie,မီ,70
mike,မိုက်,70
mile,မိုင်း,70
min,မင်း,70
mine,မိုင်,70
minga,မင်္ဂ,70
minn,မင်း,70
mo,မို,70
moe,မိုး,70
moet,မို့,70
moh,မို့,70
moht,မို့,70
moi,မွိုင်,70
moke,မုခ်,70
mone,မုံ,70
moon,မွန်း,70
moung,မောင်း,70
mu,မူ,70
mue,မူး,70
mular,မူလ္လာ,70
muu,မူး,70
mwae,မွေ့,70
mwan,မွမ်း,70
mwin,မွင်း,70
my,မိုင်,70
myae,မြေ့,70
myaet,မျက်,70
myain,မြိုင်,70
myaine,မြိုင်,70
myaing,မြိုင်,70
myal,မြဲ,70
myar,မျာ,70
myat,မြတ်,70
myaw,မြော်,70
myay,မြေ,70
mye,မြဲ,70
myek,မျက်,70
myet,မျက်,70
myin,မြင်,70
myine,မြိုင်,70
myint,မြင့်,70
myintsu,မဉ္စူ,70
myintzu,မဉ္ဇူ,70
myit,မြစ်,70
myo,မျိုး,70
myoe,မြို့,70
myu,မြူ,70
myue,မြူး,70
n,န,70
nail,နေး,70
naing,နိုင်,70
nak,နက်,70
nal,နယ်,70
nan,နန်း,70
nanda,နန္ဒ,70
nandar,နန္ဒာ,70
nanddy,နန္ဒီ,70
nande,နန္ဒီ,70
nandi,နန္ဒီ,70
nandy,နန္ဒီ,70
nane,နဲမ်,70
nang,နန်း,70
nann,နန်း,70
nant,နံ့,70
nap,နပ်,70
nar,နာ,70
nat,နက်,70
natt,နတ်,70
nauk,နောက်,70
naung,နောင်,70
naunt,နောင့်,70
nay,နေ,70
nee,နီးလ်,70
nek,နက်,70
net,နက်,70
ney,နီ,70
nga,င,70
ngaik,ငိုက်,70
ngain,ငိုင်,70
ngal,ငယ်,70
ngan,ငန်,70
ngar,ငါး,70
nge,ငယ်,70
ngeik,ငိုက်,70
ngike,ငိုက်,70
ngon,ငုံ,70
ngone,ငုံ,70
ngu,ငု,70
ngwae,ငွေ့,70
ngway,ငွေ,70
ngwe,ငွေ,70
nham,နှဲမ်,70
nhame,နှဲမ်း,70
nhaw,နှော,70
nhyin,ညှင်း,70
ni,နီ,70
nie,နီးလ်,70
nin,နင်,70
nine,နိုင်း,70
ninga,နင်္ဂ,70
nite,နိုက်,70
nix,နစ်,70
no,နို,70
noe,နိုး,70
non,နွန်,70
nong,နွံ,70
now,နိုး,70
nu,နု,70
nue,နူး,70
nun,နွန်း,70
nune,နွန်း,70
nuu,နူး,70
nwal,နွယ်,70
nwan,နွမ်း,70
nway,နွေး,70
nwe,နွယ်,70
nwet,နွဲ့,70
ny,နီ,70
nyan,ဉာဏ်,70
nyar,ညား,70
nyaung,ညောင်,70
nyein,ငြိမ်း,70
nyeint,ငြိမ့်,70
nyet,ညက်,70
nyew,နျူး,70
nyi,ညီ,70
nyin,ညင်,70
nyo,ညို,70
nyot,ညို့,70
nyu,ညု,70
nyunt,ညွန့်,70
nywat,ညွတ်,70
o,အို,70
oagar,ဥဂ္ဂါ,70
oak,အုပ်,70
oaka,ဥက္က,70
oakar,ဥက္ကာ,70
oakkar,ဥက္ကာ,70
oakta,ဥတ္တ,70
ohn,အုန်း,70
ohne,အုန်း,70
ohnmar,ဥမ္မာ,70
ok,အုပ်,70
oke,အုပ်,70
oketa,ဥတ္တ,70
om,အိုမ်,70
one,ဝမ်း,70
ooe,အိုး,70
ou,ဥ,70
oum,အွမ်,70
outa,ဥတ္တ,70
p,ပ,70
pa,ပ,70
pae,ပဲန်,70
paik,ပိုက်,70
paing,ပိုင်,70
pal,ပယ်,70
pan,ပန်း,70
pann,ပန်း,70
parl,ပါးရ်,70
part,ပါ့,70
pauk,ပေါက်,70
paung,ပေါင်,70
paw,ပေါ်,70
pawt,ပေါ့,70
pay,ပေ,70
paye,ပြည့်,70
pe,ဖေ,70
pep,ပပ်ဖ်,70
per,ပါ,70
pha,ဖ,70
phaik,ဖိုက်,70
phain,ဖိန်,70
phal,ဖယ်,70
phan,ဖန်,70
phant,ဖန့်,70
phar,ဖာ,70
phat,ဖတ်,70
phaung,ဖောင်,70
phaw,ဖော,70
phay,ဖေ,70
phe,ဖီ,70
phee,ဖီး,70
phein,ဖိန်,70
pher,ဖာ,70
phi,ဖီ,70
phoe,ဖိုး,70
phon,ဖုန်,70
phoo,ဖူး,70
phot,ဖို့,70
phu,ဖူး,70
phue,ဖူး,70
phuu,ဖူး,70
phwal,ဖွယ်,70
phwar,ဖွာ,70
phway,ဖွေး,70
phwe,ဖွေး,70
phwint,ဖွင့်,70
phy,ဖီ,70
phya,ဖျား,70
phyar,ဖြာ,70
phyeo,ဖြိုး,70
phyint,ဖြင့်,70
phyo,ဖြိုး,70
phyoe,ဖြိုး,70
phyu,ဖြူ,70
phyue,ဖြူး,70
phyuu,ဖြူး,70
pi,ပီ,70
pig,ပစ်,70
pike,ပိုက်,70
pin,ပင်,70
po,ပို,70
poe,ပိုး,70
poet,ပို့,70
poh,ပို့,70
poht,ပို့,70
pome,ပုမ်း,70
pon,ပုံ,70
pont,ပုံ့,70
poon,ပွန်း,70
pril,ပြီ,70
pu,ပု,70
pue,ပူး,70
pum,ပမ်,70
pun,ပွန်,70
puu,ပူး,70
pwa,ပွ,70
pwar,ပွား,70
pwe,ပွဲ,70
pwint,ပွင့်,70
pyae,ပြည့်,70
pyah,ပြည့်,70
pyai,ပြည့်,70
pyaing,ပြိုင်,70
pyan,ပြန်း,70
pyant,ပျံ့,70
pyar,ပြာ,70
pyaung,ပြောင်,70
pyee,ပြီး,70
pyi,ပြည်,70
pyinsa,ပဉ္စ,70
pyo,ပျို,70
pyon,ပြုံ,70
pyone,ပြုံး,70
r,အာ,70
race,ရေ့စ်,70
raim,ရိမ်,70
rain,ရိန်,70
raine,ရိန်း,70
ral,ရယ်,70
ram,ရဲမ်,70
ran,ရမ်,70
rance,ရင့်စ်,70
rang,ရန်း,70
rap,ရပ်,70
rat,ရက်,70
rave,ရေ့ဒ်ဗ်,70
raw,ရော,70
re,ရီ,70
ree,ရီး,70
reim,ရိမ်,70
rein,ရိန်,70
ren,ရင်န်,70
ret,ရက်,70
ri,ရိ,70
ril,ရယ်,70
rin,ရင်း,70
rine,ရင်း,70
ring,ရင်း,70
ris,ရစ်,70
rist,ရစ္စ,70
rit,ရစ်,70
ro,ရို,70
rock,ရော့ခ်,70
roi,ရွယ်,70
rom,ရွမ်,70
ron,ရွန်း,70
rose,ရို့စ်,70
roum,ရွမ်း,70
rown,ရောင်းန်,70
roy,ရိုင်,70
ru,ရု,70
ruat,ရွတ်,70
ry,ရီ,70
s,စ,70
sa,စံ,70
sae,စေ့,70
sai,စိုင်း,70
saik,ဆိုက်,70
sain,စိန်,70
saing,စိုင်း,70
sainn,စိမ်း,70
saint,စိမ့်,70
sal,ဆယ်,70
sam,ဆမ်း,70
sanda,စန္ဒာ,70
sandar,စန္ဒာ,70
sandara,စန္ဒြာ,70
sandi,စန္ဒီ,70
sandy,စန္ဒီ,70
